BJS,北京,北京首都国际机场,北京
,,,
TSN,天津,天津滨海国际机场,天津市
,,,
ZQZ,张家口,张家口宁远机场,河北省
SHP,秦皇岛,秦皇岛山海关机场,河北省
XNT,邢台,邢台褡裢机场,河北省
,,,
TYN,太原,太原武宿国际机场,山西省
CIH,长治,长治王村机场,山西省
YCU,运城,运城机场,山西省
,,,
AXF,阿拉善左旗,阿拉善左旗巴彦浩特机场,内蒙古自治区
BAV,包头,包头二里半机场,内蒙古自治区
DSN,鄂尔多斯,鄂尔多斯伊金霍洛机场,内蒙古自治区
ERL,二连浩特,二连浩特赛乌苏机场,内蒙古自治区
WUA,乌海,乌海机场,内蒙古自治区
RLK,巴彦淖尔,巴彦淖尔天吉泰机场,内蒙古自治区
HLD,呼伦贝尔,呼伦贝尔海拉尔机场,内蒙古自治区
HLH,乌兰浩特,乌兰浩特机场,内蒙古自治区
,,,
AOG,鞍山,鞍山腾鳌机场,辽宁省
CHG,朝阳,朝阳机场,辽宁省
DDG,丹东,丹东浪头机场,辽宁省
SHE,沈阳,沈阳桃仙国际机场,辽宁省
,,,
TNH,通化,通化三源浦机场,吉林省
YNJ,延边,延吉朝阳川机场,吉林省
,,,
JXA,鸡西,鸡西兴凯湖机场,黑龙江省
MDG,牡丹江,牡丹江海浪机场,黑龙江省
HEK,黑河,黑河机场,黑龙江省
JGD,大兴安岭,加格达奇机场,黑龙江省
OHE,漠河,漠河古莲机场,黑龙江省
,,,
SHA,上海,上海虹桥国际机场,上海市
,,,
HIA,淮安,淮安涟水机场,江苏省
YNZ,盐城,盐城南洋机场,江苏省
NKG,南京,南京禄口国际机场,江苏省
LYG,连云港,连云港白塔埠机场,江苏省
WUX,无锡,苏南硕放国际机场,江苏省
,,,
WNZ,温州,温州龙湾国际机场,浙江省
HYN,台州,台州路桥机场,浙江省
HGH,杭州,杭州萧山国际机场,浙江省
NGB,宁波,宁波栎社国际机场,浙江省
,,,
AQG,安庆,安庆天柱山机场,安徽省
TXN,黄山,黄山屯溪机场,安徽省
FUG,阜阳,阜阳西关机场,安徽省
,,,
FOC,福州,福州长乐国际机场,福建省
JJN,泉州,泉州晋江机场,福建省
XMN,厦门,厦门高崎国际机场,福建省
,,,
KOW,赣州,赣州黄金机场,江西省
YIC,宜春,宜春明月山机场,江西省
JDZ,景德镇,景德镇罗家机场,江西省
,,,
JNG,济宁,济宁曲阜机场,山东省
TAO,青岛,青岛流亭国际机场,山东省
LYI,临沂,临沂沭埠岭机场,山东省
DOY,东营,东营胜利机场,山东省
,,,
LYA,洛阳,洛阳北郊机场,河南省
NNY,南阳,南阳姜营机场,河南省
,,,
WUH,武汉,武汉天河国际机场,湖北省
ENH,恩施,恩施许家坪机场,湖北省
,,,
CGD,常德,常德桃花源机场,湖南省
DYG,张家界,张家界荷花国际机场,湖南省
LLF,永州,永州零陵机场,湖南省
,,,
DGM,东莞,东莞机场,广东省
HUZ,惠州,惠州平潭机场,广东省
SWA,揭阳,揭阳潮汕机场,广东省
FUO,佛山,佛山沙堤机场,广东省
ZUH,珠海,珠海金湾机场,广东省
,,,
LZH,柳州,柳州白莲机场,广西壮族自治区
BHY,北海,北海福成机场,广西壮族自治区
WUZ,梧州,梧州长洲岛机场,广西壮族自治区
,,,
HAK,海口,海口美兰国际机场,海南省
,,,
CKG,重庆,重庆江北国际机场,重庆市
JIQ,黔江,黔江武陵山机场,重庆市
,,,
DAX,达州,达州河市机场,四川省
JZH,九寨沟,九寨黄龙机场,四川省
PZI,攀枝花,攀枝花保安营机场,四川省
SUN,遂宁,遂宁机场,四川省
KGT,康定,甘孜康定机场,四川省
LZO,泸州,泸州蓝田机场,四川省
YBP,宜宾,宜宾菜坝机场,四川省
,,,
AVA,安顺,安顺黄果树机场,贵州省
KWE,贵阳,贵阳龙洞堡国际机场,贵州省
HZH,黎平,黎平机场,贵州省
LLB,黔南,荔波机场,贵州省
ZYI,遵义,遵义新舟机场,贵州省
,,,
SYM,普洱,普洱思茅机场,云南省
LNJ,临沧,临沧机场,云南省
ZAT,昭通,昭通机场,云南省
BSD,隆阳,保山云瑞机场,云南省
LUM,德宏,德宏芒市机场,云南省
KMG,昆明,昆明长水国际机场,云南省
,,,
NGQ,阿里,阿里昆莎机场,西藏自治区
BPX,昌都,昌都邦达机场,西藏自治区
LZY,林芝,林芝米林机场,西藏自治区
,,,
XIY,西安,西安咸阳国际机场,陕西省
HZG,汉中,汉中西关机场,陕西省
ENY,延安,延安二十里堡机场,陕西省
,,,
DNH,敦煌,敦煌机场,甘肃省
LHW,兰州,兰州中川机场,甘肃省
THQ,天水,天水麦积山机场,甘肃省
JIC,金昌,金昌金川机场,甘肃省
,,,
XNN,西宁,西宁曹家堡机场,青海省
YUS,玉树,玉树巴塘机场,青海省
,,,
GYU,固原,固原六盘山机场,宁夏回族自治区
ZHY,中卫,中卫沙坡头机场,宁夏回族自治区
,,,
AKU,阿克苏,阿克苏机场,新疆维吾尔自治区
FYN,富蕴,富蕴机场,新疆维吾尔自治区
HTN,和田,和田机场,新疆维吾尔自治区
IQM,且末,且末机场,新疆维吾尔自治区
URC,乌鲁木齐,乌鲁木齐地窝堡国际机场,新疆维吾尔自治区
KJI,布尔津,布尔津喀纳斯机场,新疆维吾尔自治区
KRY,克拉玛依,克拉玛依机场,新疆维吾尔自治区
TCG,塔城,塔城机场,新疆维吾尔自治区
NLT,新源,新源那拉提机场,新疆维吾尔自治区
,,,
HKG,香港,香港国际机场,香港特别行政区
,,,
MFM,澳门,澳门国际机场,澳门特别行政区
,,,
TSA,台北,台北松山机场,台湾省
KHH,高雄,高雄国际机场,台湾省
,,,
HDG,邯郸,邯郸机场,河北省
TVS,唐山,唐山三女河机场,河北省
SJW,石家庄,石家庄正定国际机场,河北省
,,,
LLV,吕梁,吕梁机场,山西省
DAT,大同,大同云冈机场,山西省
,,,
,,,
RHT,阿拉善右旗,阿拉善右旗巴丹吉林机场,内蒙古自治区
CIF,赤峰,赤峰玉龙机场,内蒙古自治区
EJN,额济纳旗,额济纳旗桃来机场,内蒙古自治区
NZH,满洲里,满洲里西郊机场,内蒙古自治区
YIE,阿尔山,阿尔山伊尔施机场,内蒙古自治区
HET,呼和浩特,呼和浩特白塔国际机场,内蒙古自治区
TGO,通辽,通辽机场,内蒙古自治区
XIL,锡林浩特,锡林浩特机场,内蒙古自治区
,,,
CNI,长海,长海大长山岛机场,辽宁省
DLC,大连,大连周水子国际机场,辽宁省
JNZ,锦州,锦州小岭子机场,辽宁省
,,,
,,,
NBS,白山,长白山机场,吉林省
CGQ,长春,长春龙嘉国际机场,吉林省
,,,
JMU,佳木斯,佳木斯东郊机场,黑龙江省
LDS,伊春,伊春林都机场,黑龙江省
DQA,大庆,大庆萨尔图机场,黑龙江省
HRB,哈尔滨,哈尔滨太平国际机场,黑龙江省
NDG,齐齐哈尔,齐齐哈尔三家子机场,黑龙江省
,,,
PVG,上海,上海浦东国际机场,上海市
,,,
NTG,南通,南通兴东机场,江苏省
YTY,扬州,扬州泰州机场,江苏省
XUZ,徐州,徐州观音机场,江苏省
CZX,常州,常州奔牛机场,江苏省
,,,
,,,
JUZ,衢州,衢州机场,浙江省
HSN,舟山,舟山普陀山机场,浙江省
YIW,金华,义乌机场,浙江省
,,,
,,,
JUH,池州,池州九华山机场,安徽省
HFE,合肥,合肥新桥国际机场,安徽省
,,,
,,,
LCX,龙岩,连城冠豸山机场,福建省
WUS,南平,武夷山机场,福建省
,,,
,,,
JGS,吉安,井冈山机场,江西省
KHN,南昌,南昌昌北国际机场,江西省
JIU,九江,九江庐山机场,江西省
,,,
WEF,潍坊,潍坊机场,山东省
TNA,济南,济南遥墙国际机场,山东省
YNT,烟台,烟台莱山国际机场,山东省
WEH,威海,威海国际机场,山东省
,,,
CGO,郑州,郑州新郑国际机场,河南省
,,,
,,,
YIH,宜昌,宜昌三峡机场,湖北省
XFN,襄阳,襄阳刘集机场,湖北省
,,,
HJJ,怀化,怀化芷江机场,湖南省
CSX,长沙,长沙黄花国际机场,湖南省
,,,
,,,
SZX,深圳,深圳宝安国际机场,广东省
MXZ,梅州,梅县长岗岌机场,广东省
ZHA,湛江,湛江机场,广东省
HSC,韶关,韶关桂头机场,广东省
CAN,广州,广州白云国际机场,广东省
,,,
AEB,百色,百色巴马机场,广西壮族自治区
NNG,南宁,南宁吴圩国际机场,广西壮族自治区
KWL,桂林,桂林两江国际机场,广西壮族自治区
,,,
SYX,三亚,三亚凤凰国际机场,海南省
,,,
WXN,万州,万州五桥机场,重庆市
,,,
,,,
DCY,稻城,稻城亚丁机场,四川省
NAO,南充,南充高坪机场,四川省
CTU,成都,成都双流国际机场,四川省
GYS,广元,广元盘龙机场,四川省
MIG,绵阳,绵阳南郊机场,四川省
XIC,西昌,西昌青山机场,四川省
,,,
,,,
BFJ,毕节,毕节飞雄机场,贵州省
ACX,黔西南,兴义机场,贵州省
KJH,黔东南,凯里黄平机场,贵州省
TEN,铜仁,铜仁凤凰机场,贵州省
,,,
,,,
TCZ,腾冲,腾冲驼峰机场,云南省
JHG,西双版纳,西双版纳嘎洒国际机场,云南省
LJG,丽江,丽江三义机场,云南省
DLU,大理,大理机场,云南省
DIG,迪庆,迪庆香格里拉机场,云南省
WNH,文山,文山普者黑机场,云南省
,,,
LXA,拉萨,拉萨贡嘎机场,西藏自治区
RKZ,日喀则,日喀则和平机场,西藏自治区
,,,
,,,
UYN,榆林,榆林榆阳机场,陕西省
AKA,安康,安康五里铺机场,陕西省
,,,
,,,
JGN,嘉峪关,嘉峪关机场,甘肃省
IQN,庆阳,庆阳机场,甘肃省
GXH,甘南,甘南夏河机场,甘肃省
YZY,张掖,张掖甘州机场,甘肃省
,,,
GOQ,格尔木,格尔木机场,青海省
,,,
,,,
INC,银川,银川河东国际机场,宁夏回族自治区
,,,
,,,
AAT,阿勒泰,阿勒泰机场,新疆维吾尔自治区
HMI,哈密,哈密机场,新疆维吾尔自治区
KRL,库尔勒,库尔勒机场,新疆维吾尔自治区
TLQ,吐鲁番,吐鲁番交河机场,新疆维吾尔自治区
BPL,博尔塔拉,博乐阿拉山口机场,新疆维吾尔自治区
KHG,喀什,喀什机场,新疆维吾尔自治区
KCA,库车,库车龟兹机场,新疆维吾尔自治区
YIN,伊宁,伊宁机场,新疆维吾尔自治区
TPE,桃园,桃园国际机场,台湾省
